scenario,strategy,run,metric,value
E1,DB,run1,throughput,7800.575712
E1,DB,run2,throughput,7939.812912
E1,DB,run3,throughput,7671.703484
E1,DB,run4,throughput,7383.203019
E1,DB,run5,throughput,7587.214073
E1,REDIS,run1,throughput,10533.613515
E1,REDIS,run2,throughput,11240.416501
E1,REDIS,run3,throughput,12100.624645
E1,REDIS,run4,throughput,10869.237220
E1,REDIS,run5,throughput,10783.040867
E1,ZK,run1,throughput,4426.379249
E1,ZK,run2,throughput,4392.076848
E1,ZK,run3,throughput,4327.196876
E1,ZK,run4,throughput,4059.939244
E1,ZK,run5,throughput,4292.453030
E1,KAFKA,run1,throughput,13021.477396
E1,KAFKA,run2,throughput,11491.839090
E1,KAFKA,run3,throughput,12156.788179
E1,KAFKA,run4,throughput,11074.082945
E1,KAFKA,run5,throughput,11532.846695
E1,OUTBOX,run1,throughput,6137.521694
E1,OUTBOX,run2,throughput,6802.672272
E1,OUTBOX,run3,throughput,6375.277157
E1,OUTBOX,run4,throughput,7012.303445
E1,OUTBOX,run5,throughput,6964.894950
E1,PAYLOAD_HASH,run1,throughput,7514.759489
E1,PAYLOAD_HASH,run2,throughput,6452.357572
E1,PAYLOAD_HASH,run3,throughput,7354.356039
E1,PAYLOAD_HASH,run4,throughput,7577.883569
E1,PAYLOAD_HASH,run5,throughput,7651.668898
E1,DB,run1,p99,86.278226
E1,DB,run2,p99,92.276806
E1,DB,run3,p99,89.422441
E1,DB,run4,p99,90.389628
E1,DB,run5,p99,101.047122
E1,REDIS,run1,p99,36.158821
E1,REDIS,run2,p99,37.925851
E1,REDIS,run3,p99,40.016409
E1,REDIS,run4,p99,36.669391
E1,REDIS,run5,p99,37.745320
E1,ZK,run1,p99,181.193013
E1,ZK,run2,p99,180.688843
E1,ZK,run3,p99,166.769397
E1,ZK,run4,p99,180.822314
E1,ZK,run5,p99,194.675293
E1,KAFKA,run1,p99,63.501992
E1,KAFKA,run2,p99,73.609407
E1,KAFKA,run3,p99,70.501287
E1,KAFKA,run4,p99,67.305824
E1,KAFKA,run5,p99,78.401749
E1,OUTBOX,run1,p99,115.030914
E1,OUTBOX,run2,p99,102.084693
E1,OUTBOX,run3,p99,110.491807
E1,OUTBOX,run4,p99,113.806151
E1,OUTBOX,run5,p99,108.754038
E1,PAYLOAD_HASH,run1,p99,102.015512
E1,PAYLOAD_HASH,run2,p99,97.608878
E1,PAYLOAD_HASH,run3,p99,101.923416
E1,PAYLOAD_HASH,run4,p99,106.458513
E1,PAYLOAD_HASH,run5,p99,94.027106
E2,DB,run1,violation_rate,0.000000
E2,DB,run2,violation_rate,0.000000
E2,DB,run3,violation_rate,0.000000
E2,DB,run4,violation_rate,0.000000
E2,DB,run5,violation_rate,0.000000
E2,REDIS,run1,violation_rate,0.000000
E2,REDIS,run2,violation_rate,0.000000
E2,REDIS,run3,violation_rate,0.000000
E2,REDIS,run4,violation_rate,0.000000
E2,REDIS,run5,violation_rate,0.000000
E2,ZK,run1,violation_rate,0.000000
E2,ZK,run2,violation_rate,0.000000
E2,ZK,run3,violation_rate,0.000000
E2,ZK,run4,violation_rate,0.000000
E2,ZK,run5,violation_rate,0.000000
E2,KAFKA,run1,violation_rate,0.000000
E2,KAFKA,run2,violation_rate,0.000000
E2,KAFKA,run3,violation_rate,0.000000
E2,KAFKA,run4,violation_rate,0.000000
E2,KAFKA,run5,violation_rate,0.000000
E2,OUTBOX,run1,violation_rate,0.000000
E2,OUTBOX,run2,violation_rate,0.000000
E2,OUTBOX,run3,violation_rate,0.000000
E2,OUTBOX,run4,violation_rate,0.000000
E2,OUTBOX,run5,violation_rate,0.000000
E2,PAYLOAD_HASH,run1,violation_rate,0.000000
E2,PAYLOAD_HASH,run2,violation_rate,0.000000
E2,PAYLOAD_HASH,run3,violation_rate,0.000000
E2,PAYLOAD_HASH,run4,violation_rate,0.000000
E2,PAYLOAD_HASH,run5,violation_rate,0.000000
E2,DB,run1,p99,242.925196
E2,DB,run2,p99,233.328371
E2,DB,run3,p99,241.832665
E2,DB,run4,p99,222.904399
E2,DB,run5,p99,231.658057
E2,REDIS,run1,p99,64.234836
E2,REDIS,run2,p99,68.505179
E2,REDIS,run3,p99,69.466366
E2,REDIS,run4,p99,59.838242
E2,REDIS,run5,p99,61.900895
E2,ZK,run1,p99,332.420546
E2,ZK,run2,p99,281.745540
E2,ZK,run3,p99,311.107139
E2,ZK,run4,p99,318.132091
E2,ZK,run5,p99,344.134688
E2,KAFKA,run1,p99,93.722781
E2,KAFKA,run2,p99,88.233048
E2,KAFKA,run3,p99,88.009690
E2,KAFKA,run4,p99,88.648945
E2,KAFKA,run5,p99,98.227059
E2,OUTBOX,run1,p99,175.377331
E2,OUTBOX,run2,p99,176.720252
E2,OUTBOX,run3,p99,183.807962
E2,OUTBOX,run4,p99,178.695679
E2,OUTBOX,run5,p99,177.869330
E2,PAYLOAD_HASH,run1,p99,233.288993
E2,PAYLOAD_HASH,run2,p99,249.827178
E2,PAYLOAD_HASH,run3,p99,243.346282
E2,PAYLOAD_HASH,run4,p99,267.491917
E2,PAYLOAD_HASH,run5,p99,259.796328
E4,DB,run1,violation_rate,0.000000
E4,DB,run2,violation_rate,0.000000
E4,DB,run3,violation_rate,0.000000
E4,DB,run4,violation_rate,0.000000
E4,DB,run5,violation_rate,0.000000
E4,REDIS,run1,violation_rate,0.004185
E4,REDIS,run2,violation_rate,0.004621
E4,REDIS,run3,violation_rate,0.003986
E4,REDIS,run4,violation_rate,0.004863
E4,REDIS,run5,violation_rate,0.004197
E4,ZK,run1,violation_rate,0.000000
E4,ZK,run2,violation_rate,0.000000
E4,ZK,run3,violation_rate,0.000000
E4,ZK,run4,violation_rate,0.000000
E4,ZK,run5,violation_rate,0.000000
E4,KAFKA,run1,violation_rate,0.000000
E4,KAFKA,run2,violation_rate,0.000000
E4,KAFKA,run3,violation_rate,0.000000
E4,KAFKA,run4,violation_rate,0.000000
E4,KAFKA,run5,violation_rate,0.000000
E4,OUTBOX,run1,violation_rate,0.000000
E4,OUTBOX,run2,violation_rate,0.000000
E4,OUTBOX,run3,violation_rate,0.000000
E4,OUTBOX,run4,violation_rate,0.000000
E4,OUTBOX,run5,violation_rate,0.000000
E4,PAYLOAD_HASH,run1,violation_rate,0.000000
E4,PAYLOAD_HASH,run2,violation_rate,0.000000
E4,PAYLOAD_HASH,run3,violation_rate,0.000000
E4,PAYLOAD_HASH,run4,violation_rate,0.000000
E4,PAYLOAD_HASH,run5,violation_rate,0.000000
E4,DB,run1,recovery_s,3.371273
E4,DB,run2,recovery_s,2.499735
E4,DB,run3,recovery_s,3.261206
E4,DB,run4,recovery_s,2.314985
E4,DB,run5,recovery_s,2.153572
E4,REDIS,run1,recovery_s,6.489434
E4,REDIS,run2,recovery_s,5.882074
E4,REDIS,run3,recovery_s,6.967334
E4,REDIS,run4,recovery_s,9.089652
E4,REDIS,run5,recovery_s,5.951642
E4,ZK,run1,recovery_s,8.610880
E4,ZK,run2,recovery_s,9.792701
E4,ZK,run3,recovery_s,10.202544
E4,ZK,run4,recovery_s,9.248621
E4,ZK,run5,recovery_s,9.206549
E4,KAFKA,run1,recovery_s,13.264433
E4,KAFKA,run2,recovery_s,12.935834
E4,KAFKA,run3,recovery_s,10.139384
E4,KAFKA,run4,recovery_s,11.857474
E4,KAFKA,run5,recovery_s,12.063516
E4,OUTBOX,run1,recovery_s,9.428466
E4,OUTBOX,run2,recovery_s,11.636530
E4,OUTBOX,run3,recovery_s,9.758633
E4,OUTBOX,run4,recovery_s,12.833072
E4,OUTBOX,run5,recovery_s,11.523813
E4,PAYLOAD_HASH,run1,recovery_s,3.242867
E4,PAYLOAD_HASH,run2,recovery_s,2.916306
E4,PAYLOAD_HASH,run3,recovery_s,3.143067
E4,PAYLOAD_HASH,run4,recovery_s,2.241082
E4,PAYLOAD_HASH,run5,recovery_s,2.656924
E3,DB,run1,p99,132.830150
E3,DB,run2,p99,113.397177
E3,DB,run3,p99,136.603546
E3,DB,run4,p99,116.380447
E3,DB,run5,p99,135.902560
E3,REDIS,run1,p99,246.810246
E3,REDIS,run2,p99,272.152261
E3,REDIS,run3,p99,262.042839
E3,REDIS,run4,p99,236.025375
E3,REDIS,run5,p99,279.486720
E3,ZK,run1,p99,510.656142
E3,ZK,run2,p99,468.144302
E3,ZK,run3,p99,462.275561
E3,ZK,run4,p99,465.491752
E3,ZK,run5,p99,442.500704
E3,KAFKA,run1,p99,159.887281
E3,KAFKA,run2,p99,145.113973
E3,KAFKA,run3,p99,149.539286
E3,KAFKA,run4,p99,142.860332
E3,KAFKA,run5,p99,144.365342
E3,OUTBOX,run1,p99,175.433933
E3,OUTBOX,run2,p99,204.330590
E3,OUTBOX,run3,p99,188.243402
E3,OUTBOX,run4,p99,201.011506
E3,OUTBOX,run5,p99,190.151900
E3,PAYLOAD_HASH,run1,p99,126.500324
E3,PAYLOAD_HASH,run2,p99,129.412653
E3,PAYLOAD_HASH,run3,p99,127.562970
E3,PAYLOAD_HASH,run4,p99,132.063036
E3,PAYLOAD_HASH,run5,p99,129.027887
E5,DB,run1,stale_locks,0.000000
E5,DB,run2,stale_locks,0.000000
E5,DB,run3,stale_locks,0.000000
E5,DB,run4,stale_locks,0.000000
E5,DB,run5,stale_locks,0.000000
E5,REDIS,run1,stale_locks,35.335434
E5,REDIS,run2,stale_locks,29.348911
E5,REDIS,run3,stale_locks,32.522005
E5,REDIS,run4,stale_locks,46.180019
E5,REDIS,run5,stale_locks,33.274656
E5,ZK,run1,stale_locks,0.000000
E5,ZK,run2,stale_locks,0.000000
E5,ZK,run3,stale_locks,0.000000
E5,ZK,run4,stale_locks,0.000000
E5,ZK,run5,stale_locks,0.000000
E5,KAFKA,run1,stale_locks,0.000000
E5,KAFKA,run2,stale_locks,0.000000
E5,KAFKA,run3,stale_locks,0.000000
E5,KAFKA,run4,stale_locks,0.000000
E5,KAFKA,run5,stale_locks,0.000000
E5,OUTBOX,run1,stale_locks,0.000000
E5,OUTBOX,run2,stale_locks,0.000000
E5,OUTBOX,run3,stale_locks,0.000000
E5,OUTBOX,run4,stale_locks,0.000000
E5,OUTBOX,run5,stale_locks,0.000000
E5,PAYLOAD_HASH,run1,stale_locks,0.000000
E5,PAYLOAD_HASH,run2,stale_locks,0.000000
E5,PAYLOAD_HASH,run3,stale_locks,0.000000
E5,PAYLOAD_HASH,run4,stale_locks,0.000000
