scenario,strategy,run,metric,value
E1,DB,run1,throughput,199.99127213491525
E1,DB,run1,p99,9.368122
E1,DB,run1,p95,8.373954
E1,DB,run2,throughput,199.99079684380823
E1,DB,run2,p99,8.120737
E1,DB,run2,p95,7.0575
E1,DB,run3,throughput,199.99269558883836
E1,DB,run3,p99,7.428782
E1,DB,run3,p95,6.807347
E2,DB,run1,violation_rate,0.000000
E2,DB,run1,p99,125.69803079000002
E2,DB,run1,side_effects_total,1450
E2,DB,run1,logical_ops,1450
E2,DB,run2,violation_rate,0.000000
E2,DB,run2,p99,102.87659088000005
E2,DB,run2,side_effects_total,1116
E2,DB,run2,logical_ops,1116
E2,DB,run3,violation_rate,0.000000
E2,DB,run3,p99,93.47258923000001
E2,DB,run3,side_effects_total,1114
E2,DB,run3,logical_ops,1114
E3,DB,lat0-r1,p99,4.985551
E3,DB,lat0-r1,violation_rate,0.000000
E3,DB,lat0-r2,p99,5.275297
E3,DB,lat0-r2,violation_rate,0.000000
E3,DB,lat0-r3,p99,5.018528
E3,DB,lat0-r3,violation_rate,0.000000
E3,DB,lat25-r1,p99,129.993052
E3,DB,lat25-r1,violation_rate,0.000000
E3,DB,lat25-r2,p99,131.116459
E3,DB,lat25-r2,violation_rate,0.000000
E3,DB,lat25-r3,p99,153.255562
E3,DB,lat25-r3,violation_rate,0.000000
E3,DB,lat50-r1,p99,386.5121593400002
E3,DB,lat50-r1,violation_rate,0.000000
E3,DB,lat50-r2,p99,382.77797666
E3,DB,lat50-r2,violation_rate,0.000000
E3,DB,lat50-r3,p99,393.261237
E3,DB,lat50-r3,violation_rate,0.000000
E3,DB,lat100-r1,p99,841.429302
E3,DB,lat100-r1,violation_rate,0.000000
E3,DB,lat100-r2,p99,840.672553
E3,DB,lat100-r2,violation_rate,0.000000
E3,DB,lat100-r3,p99,852.570196
E3,DB,lat100-r3,violation_rate,0.000000
E3,DB,lat250-r1,p99,2567.3195143200005
E3,DB,lat250-r1,violation_rate,0.000000
E3,DB,lat250-r2,p99,2960.96440675
E3,DB,lat250-r2,violation_rate,0.000000
E3,DB,lat250-r3,p99,2864.1492133099996
E3,DB,lat250-r3,violation_rate,0.000000
E3,DB,lat500-r1,p99,5452.22028348
E3,DB,lat500-r1,violation_rate,0.000000
E3,DB,lat500-r2,p99,5436.15156625
E3,DB,lat500-r2,violation_rate,0.000000
E3,DB,lat500-r3,p99,5449.311157
E3,DB,lat500-r3,violation_rate,0.000000
E1,REDIS,run1,throughput,199.98804656064576
E1,REDIS,run1,p99,10.536448
E1,REDIS,run1,p95,9.512442
E1,REDIS,run2,throughput,199.99029028474908
E1,REDIS,run2,p99,9.934870400000005
E1,REDIS,run2,p95,8.86341525
E1,REDIS,run3,throughput,199.9949873200384
E1,REDIS,run3,p99,9.226159
E1,REDIS,run3,p95,8.410285
E2,REDIS,run1,violation_rate,0.000000
E2,REDIS,run1,p99,92.68938678000005
E2,REDIS,run1,side_effects_total,200
E2,REDIS,run1,logical_ops,200
E2,REDIS,run2,violation_rate,0.000000
E2,REDIS,run2,p99,74.8876848
E2,REDIS,run2,side_effects_total,200
E2,REDIS,run2,logical_ops,200
E2,REDIS,run3,violation_rate,0.000000
E2,REDIS,run3,p99,72.05461111000001
E2,REDIS,run3,side_effects_total,200
E2,REDIS,run3,logical_ops,200
E3,REDIS,lat0-r1,p99,2.927939
E3,REDIS,lat0-r1,violation_rate,0.000000
E3,REDIS,lat0-r2,p99,2.952213
E3,REDIS,lat0-r2,violation_rate,0.000000
E3,REDIS,lat0-r3,p99,2.93006
E3,REDIS,lat0-r3,violation_rate,0.000000
E3,REDIS,lat25-r1,p99,47.18013
E3,REDIS,lat25-r1,violation_rate,0.000000
E3,REDIS,lat25-r2,p99,47.380366
E3,REDIS,lat25-r2,violation_rate,0.000000
E3,REDIS,lat25-r3,p99,47.912688
E3,REDIS,lat25-r3,violation_rate,0.000000
E3,REDIS,lat50-r1,p99,266.569066
E3,REDIS,lat50-r1,violation_rate,0.000000
E3,REDIS,lat50-r2,p99,273.643335
E3,REDIS,lat50-r2,violation_rate,0.000000
E3,REDIS,lat50-r3,p99,72.820356
E3,REDIS,lat50-r3,violation_rate,0.000000
E3,REDIS,lat100-r1,p99,604.6626872300012
E3,REDIS,lat100-r1,violation_rate,0.000000
E3,REDIS,lat100-r2,p99,622.057927
E3,REDIS,lat100-r2,violation_rate,0.000000
E3,REDIS,lat100-r3,p99,616.1719425400001
E3,REDIS,lat100-r3,violation_rate,0.000000
E3,REDIS,lat250-r1,p99,2263.0057205
E3,REDIS,lat250-r1,violation_rate,0.000000
E3,REDIS,lat250-r2,p99,2262.1603499599996
E3,REDIS,lat250-r2,violation_rate,0.000000
E3,REDIS,lat250-r3,p99,2267.37424182
E3,REDIS,lat250-r3,violation_rate,0.000000
E3,REDIS,lat500-r1,p99,3039.3709739
E3,REDIS,lat500-r1,violation_rate,0.000000
