offered_rate,strategy,run,achieved_rps,error_rate,p99
100,DB,run1,100.000,0.000000,9.102628
100,DB,run2,100.050,0.000000,9.752057
100,DB,run3,100.050,0.000000,9.311942
200,DB,run1,200.000,0.000000,7.583273
200,DB,run2,200.050,0.000000,7.696121
200,DB,run3,200.050,0.000000,7.774991
400,DB,run1,400.050,0.000000,6.615599
400,DB,run2,400.050,0.000000,6.829337
400,DB,run3,400.050,0.000000,6.419267
600,DB,run1,600.050,0.000000,11.245082
600,DB,run2,600.000,0.000000,8.653863
600,DB,run3,600.050,0.000000,6.071905
800,DB,run1,800.050,0.000000,8.201342
800,DB,run2,800.050,0.000000,7.867271
800,DB,run3,800.050,0.000000,6.601023
1000,DB,run1,1000.050,0.000000,32.837648
1000,DB,run2,1000.050,0.000000,8.425520
1000,DB,run3,1000.050,0.000000,10.130629
1500,DB,run1,1500.050,0.000000,17.323219
1500,DB,run2,1500.050,0.000000,14.051270
1500,DB,run3,1500.050,0.000000,15.815317
100,REDIS,run1,100.050,0.000000,12.974660
100,REDIS,run2,100.050,0.000000,12.969223
100,REDIS,run3,100.050,0.000000,12.326845
200,REDIS,run1,200.050,0.000000,9.048436
200,REDIS,run2,200.050,0.000000,9.568427
200,REDIS,run3,200.050,0.000000,9.953115
400,REDIS,run1,400.000,0.000000,7.897421
400,REDIS,run2,400.050,0.000000,7.926164
400,REDIS,run3,400.050,0.000000,7.672815
600,REDIS,run1,600.050,0.000000,8.579969
600,REDIS,run2,600.050,0.000000,8.250855
600,REDIS,run3,600.050,0.000000,8.562425
800,REDIS,run1,800.050,0.000000,8.352083
800,REDIS,run2,800.050,0.000000,9.135230
800,REDIS,run3,800.050,0.000000,11.627150
1000,REDIS,run1,1000.050,0.000000,146.040820
1000,REDIS,run2,1000.050,0.000000,12.906032
1000,REDIS,run3,1000.050,0.000000,15.070966
1500,REDIS,run1,1500.050,0.000000,29.557289
1500,REDIS,run2,1500.050,0.000000,28.735588
1500,REDIS,run3,1500.050,0.000000,30.091052
100,ZK,run1,100.000,0.000000,33.575067
100,ZK,run2,100.050,0.000000,32.904387
100,ZK,run3,100.000,0.000000,35.183104
200,ZK,run1,200.000,0.000000,36.044401
200,ZK,run2,200.050,0.000000,34.831675
200,ZK,run3,200.050,0.000000,38.262313
400,ZK,run1,400.050,0.000000,53.890275
400,ZK,run2,400.050,0.000000,50.488184
400,ZK,run3,400.000,0.000000,52.892296
600,ZK,run1,600.050,0.000000,95.214593
600,ZK,run2,600.050,0.000000,90.446991
600,ZK,run3,600.050,0.000000,110.349475
800,ZK,run1,800.000,0.000000,162.414278
800,ZK,run2,800.050,0.000000,183.100164
800,ZK,run3,800.050,0.000000,194.971192
1000,ZK,run1,1000.000,0.000000,245.295780
1000,ZK,run2,1000.050,0.000000,261.385951
1000,ZK,run3,1000.050,0.000000,235.749581
1500,ZK,run1,1401.950,0.000000,1965.277762
1500,ZK,run2,1373.200,0.000000,2181.364359
1500,ZK,run3,1403.950,0.000000,1780.570798
100,KAFKA,run1,100.050,0.000000,1.727073
100,KAFKA,run2,100.050,0.000000,1.641694
100,KAFKA,run3,100.050,0.000000,1.881157
200,KAFKA,run1,200.000,0.000000,1.751138
200,KAFKA,run2,200.050,0.000000,2.299164
200,KAFKA,run3,200.050,0.000000,2.118122
400,KAFKA,run1,400.050,0.000000,1.398930
400,KAFKA,run2,400.050,0.000000,1.551042
400,KAFKA,run3,400.050,0.000000,1.461333
600,KAFKA,run1,600.050,0.000000,1.494467
600,KAFKA,run2,600.050,0.000000,2.068650
600,KAFKA,run3,600.050,0.000000,2.129561
800,KAFKA,run1,800.050,0.000000,1.488986
800,KAFKA,run2,800.050,0.000000,1.607052
800,KAFKA,run3,800.050,0.000000,1.890785
1000,KAFKA,run1,1000.050,0.000000,1.656782
1000,KAFKA,run2,1000.000,0.000000,1.548607
1000,KAFKA,run3,1000.050,0.000000,1.615898
1500,KAFKA,run1,1500.050,0.000000,2.026734
1500,KAFKA,run2,1500.050,0.000000,2.145716
1500,KAFKA,run3,1500.050,0.000000,1.693142
100,OUTBOX,run1,100.050,0.000000,7.608134
100,OUTBOX,run2,100.050,0.000000,7.587052
100,OUTBOX,run3,100.050,0.000000,7.467853
200,OUTBOX,run1,200.050,0.000000,6.083951
200,OUTBOX,run2,200.050,0.000000,6.254147
200,OUTBOX,run3,200.000,0.000000,6.425614
400,OUTBOX,run1,400.050,0.000000,6.442190
400,OUTBOX,run2,400.050,0.000000,6.484143
400,OUTBOX,run3,400.000,0.000000,5.814043
600,OUTBOX,run1,600.050,0.000000,7.447625
600,OUTBOX,run2,600.050,0.000000,6.906017
600,OUTBOX,run3,600.050,0.000000,6.448762
800,OUTBOX,run1,800.050,0.000000,8.115624
800,OUTBOX,run2,800.050,0.000000,10.182003
800,OUTBOX,run3,800.050,0.000000,9.660360
1000,OUTBOX,run1,1000.050,0.000000,12.209620
1000,OUTBOX,run2,1000.050,0.000000,10.943381
1000,OUTBOX,run3,1000.050,0.000000,11.253233
1500,OUTBOX,run1,1500.050,0.000000,29.105571
1500,OUTBOX,run2,1500.050,0.000000,18.214940
1500,OUTBOX,run3,1500.050,0.000000,18.945544
100,PAYLOAD_HASH,run1,100.050,0.000000,9.955929
100,PAYLOAD_HASH,run2,100.050,0.000000,10.345372
100,PAYLOAD_HASH,run3,100.050,0.000000,9.788272
200,PAYLOAD_HASH,run1,200.050,0.000000,7.431698
200,PAYLOAD_HASH,run2,200.050,0.000000,10.621372
200,PAYLOAD_HASH,run3,200.000,0.000000,9.825961
400,PAYLOAD_HASH,run1,400.050,0.000000,8.553363
400,PAYLOAD_HASH,run2,400.050,0.000000,8.721307
400,PAYLOAD_HASH,run3,400.050,0.000000,7.177074
600,PAYLOAD_HASH,run1,600.050,0.000000,7.876526
600,PAYLOAD_HASH,run2,600.000,0.000000,7.447191
600,PAYLOAD_HASH,run3,600.050,0.000000,32.890117
800,PAYLOAD_HASH,run1,800.050,0.000000,8.877018
800,PAYLOAD_HASH,run2,800.050,0.000000,8.936132
800,PAYLOAD_HASH,run3,800.050,0.000000,8.936091
1000,PAYLOAD_HASH,run1,1000.050,0.000000,11.328475
